Some weights of the model checkpoint at google-bert/bert-base-uncased were not used when initializing BertForMaskedLM: ['bert.pooler.dense.bias', 'bert.pooler.dense.weight', 'cls.seq_relationship.bias', 'cls.seq_relationship.weight']
- This IS expected if you are initializing BertForMaskedLM from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing BertForMaskedLM from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
score_more:-15.627848449001249,score_less:-15.778216520055139,result:True,sum:1
score_more:-14.65434245809729,score_less:-14.55712515945038,result:False,sum:1
score_more:-15.296817387919873,score_less:-14.274339449591935,result:False,sum:1
score_more:-14.846609195577912,score_less:-14.543280945625156,result:False,sum:1
score_more:-17.499733065928012,score_less:-17.709379491883738,result:True,sum:2
score_more:-19.575856999352254,score_less:-15.2742185569914,result:False,sum:2
score_more:-18.673044839000795,score_less:-16.15574143709091,result:False,sum:2
score_more:-15.629859466280323,score_less:-16.750980800628895,result:True,sum:3
score_more:-15.273221345458296,score_less:-14.801401083313976,result:False,sum:3
score_more:-14.327830439811805,score_less:-14.291683747782372,result:False,sum:3
score_more:-16.776949782681186,score_less:-14.800628870856599,result:False,sum:3
score_more:-14.363257125452947,score_less:-14.37946926080076,result:True,sum:4
score_more:-18.540365540862695,score_less:-17.318469539197395,result:False,sum:4
score_more:-18.15767989402957,score_less:-15.903179768676637,result:False,sum:4
score_more:-31.568009085021913,score_less:-33.502303018118255,result:True,sum:5
score_more:-19.264259987307014,score_less:-14.572087925975211,result:False,sum:5
score_more:-15.638352382040466,score_less:-16.722154756789678,result:True,sum:6
score_more:-1.7128837662457954,score_less:-1.7652728363900678,result:True,sum:7
score_more:-17.420172358215495,score_less:-15.59932276282052,result:False,sum:7
score_more:-17.42034655229645,score_less:-15.008444806984926,result:False,sum:7
score_more:-14.531137228557782,score_less:-14.938993515999755,result:True,sum:8
score_more:-18.077684448460786,score_less:-16.365534848404423,result:False,sum:8
score_more:-16.760680524649615,score_less:-16.720399503587032,result:False,sum:8
score_more:-15.469901558350557,score_less:-14.997426954249022,result:False,sum:8
score_more:-17.165981851285324,score_less:-17.584839294315316,result:True,sum:9
score_more:-17.040845609502867,score_less:-20.375137321658258,result:True,sum:10
score_more:-20.202359207440168,score_less:-13.95417044032365,result:False,sum:10
score_more:-2.1077819890820138,score_less:-1.7192174832298406,result:False,sum:10
score_more:-17.787742793225334,score_less:-17.11415395259246,result:False,sum:10
score_more:-17.579777073318837,score_less:-15.970871940872712,result:False,sum:10
score_more:-21.40091728605603,score_less:-22.93567660531062,result:True,sum:11
score_more:-15.042592237470672,score_less:-15.945166068529943,result:True,sum:12
score_more:-15.025981543134549,score_less:-17.894483665615553,result:True,sum:13
score_more:-18.271596198990665,score_less:-16.972733833144957,result:False,sum:13
score_more:-14.567015393347901,score_less:-14.494051722793301,result:False,sum:13
score_more:-18.203801678988384,score_less:-17.759802899505303,result:False,sum:13
score_more:-21.698652886680975,score_less:-18.99202847943525,result:False,sum:13
score_more:-14.405532490048245,score_less:-14.25039856395233,result:False,sum:13
score_more:-19.886779626074713,score_less:-20.59328880692192,result:True,sum:14
score_more:-16.144666987045184,score_less:-18.78935799019473,result:True,sum:15
score_more:-27.130315388134477,score_less:-27.056314326395295,result:False,sum:15
score_more:-22.818528244672052,score_less:-15.465302569988125,result:False,sum:15
score_more:-16.71567599149421,score_less:-17.27117297109362,result:True,sum:16
score_more:-14.977803167377715,score_less:-14.994414965010947,result:True,sum:17
score_more:-16.520050342489412,score_less:-16.203022036802395,result:False,sum:17
score_more:-23.612479214338236,score_less:-23.66025344354057,result:True,sum:18
score_more:-15.232217988930643,score_less:-15.91315926873358,result:True,sum:19
score_more:-19.379745679994812,score_less:-18.92968174326228,result:False,sum:19
score_more:-23.876115218123232,score_less:-23.218937712879438,result:False,sum:19
score_more:-24.575242056483148,score_less:-23.79845546136403,result:False,sum:19
score_more:-17.89496157396934,score_less:-15.555764459706552,result:False,sum:19
score_more:-16.058607968734577,score_less:-15.42885298159672,result:False,sum:19
score_more:-16.428960573801305,score_less:-14.635623770591337,result:False,sum:19
score_more:-14.213082153655705,score_less:-14.302730720723048,result:True,sum:20
score_more:-24.60268101192014,score_less:-25.67564458080642,result:True,sum:21
score_more:-17.82612452550711,score_less:-18.283769871066397,result:True,sum:22
score_more:-14.079561261925846,score_less:-13.983978799544275,result:False,sum:22
score_more:-16.36472821438656,score_less:-16.868351331941085,result:True,sum:23
score_more:-14.533678998850519,score_less:-14.526734110128018,result:False,sum:23
score_more:-14.342833604896441,score_less:-14.74638523068279,result:True,sum:24
score_more:-24.957001730857883,score_less:-16.581252232732368,result:False,sum:24
score_more:-25.396040857973276,score_less:-20.70784761683899,result:False,sum:24
score_more:-23.750120296668683,score_less:-24.03748169638766,result:True,sum:25
score_more:-15.50879691185628,score_less:-14.733906916481367,result:False,sum:25
score_more:-14.48921723615058,score_less:-15.235331393429078,result:True,sum:26
score_more:-25.587596482356275,score_less:-17.719479169888928,result:False,sum:26
score_more:-14.15750399499666,score_less:-14.274592587187726,result:True,sum:27
score_more:-15.148151602246799,score_less:-16.433813711628318,result:True,sum:28
score_more:-17.450112178384188,score_less:-14.27724937213452,result:False,sum:28
score_more:-16.198599683535576,score_less:-16.653501289609267,result:True,sum:29
score_more:-18.80457380185544,score_less:-19.1719685897624,result:True,sum:30
score_more:-15.654782631734633,score_less:-16.504812548941118,result:True,sum:31
score_more:-18.4637095820799,score_less:-16.209003896830836,result:False,sum:31
score_more:-17.12068920002639,score_less:-15.56976560359908,result:False,sum:31
score_more:-14.737102201615926,score_less:-15.698482399799104,result:True,sum:32
score_more:-15.53516184122418,score_less:-20.641582105410635,result:True,sum:33
score_more:-23.884670259936684,score_less:-23.288323579714415,result:False,sum:33
score_more:-14.16929713245321,score_less:-13.936581926744907,result:False,sum:33
score_more:-14.08291514206212,score_less:-14.209077295876341,result:True,sum:34
score_more:-18.771520299545955,score_less:-19.346260810736567,result:True,sum:35
0.4375
